ID	F(x) - ANF	F(x) - Univariate F_2^7	Exponents	Status	Note
1	x1*x3+x2*x3+x1*x5+x3*x5+x1*x6+x2*x6+x4*x6+x0	x^96 + x^65 + x^48 + x^24 + x^12 + x^6 + x^3	3,6,12,24,48,65,96	UNIQUE	
2	x1*x3+x3*x5+x4*x5+x1*x6+x2*x6+x3*x6+x5*x6+x0+x3+x5+x6	x^72 + x^68 + x^36 + x^34 + x^18 + x^17 + x^9	9,17,18,34,36,68,72	UNIQUE	
3	x2*x3+x3*x4+x1*x5+x2*x5+x4*x5+x1*x6+x3*x6+x4*x6+x5*x6+x0+x5	x^80 + x^66 + x^40 + x^33 + x^20 + x^10 + x^5	5,10,20,33,40,66,80	UNIQUE	
4	x3*x4+x2*x5+x1*x6+x0+x3+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	UNIQUE	
5	x2*x3+x3*x4+x1*x5+x2*x5+x4*x5+x1*x6+x3*x6+x4*x6+x5*x6+x0+x5	x^80 + x^66 + x^40 + x^33 + x^20 + x^10 + x^5	5,10,20,33,40,66,80	DUPLICATE	Same as Class 2
6	x2*x3+x3*x4+x1*x5+x2*x5+x4*x5+x1*x6+x3*x6+x4*x6+x5*x6+x0+x5	x^80 + x^66 + x^40 + x^33 + x^20 + x^10 + x^5	5,10,20,33,40,66,80	DUPLICATE	Same as Class 2
7	x1*x3+x2*x3+x1*x5+x3*x5+x1*x6+x2*x6+x4*x6+x0	x^96 + x^65 + x^48 + x^24 + x^12 + x^6 + x^3	3,6,12,24,48,65,96	DUPLICATE	Same as Class 0
8	x1*x3+x3*x4+x2*x5+x3*x5+x4*x5+x2*x6+x3*x6+x5*x6+x5	x^96 + x^80 + x^66 + x^65 + x^48 + x^40 + x^33 + x^24 + x^20 + x^12 + x^10 + x^6 + x^5 + x^3	3,5,6,10,12,20,24,33,40,48,65,66,80,96	UNIQUE	
9	x3*x4+x2*x5+x1*x6+x0+x3+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
10	x1*x3+x3*x4+x2*x5+x3*x5+x4*x5+x2*x6+x3*x6+x5*x6+x5	x^96 + x^80 + x^66 + x^65 + x^48 + x^40 + x^33 + x^24 + x^20 + x^12 + x^10 + x^6 + x^5 + x^3	3,5,6,10,12,20,24,33,40,48,65,66,80,96	DUPLICATE	Same as Class 7
11	x1*x3+x2*x3+x3*x4+x1*x5+x2*x5+x3*x5+x2*x6+x4*x6+x3+x6	x^80 + x^72 + x^68 + x^66 + x^40 + x^36 + x^34 + x^33 + x^20 + x^18 + x^17 + x^10 + x^9 + x^5	5,9,10,17,18,20,33,34,36,40,66,68,72,80	UNIQUE	
12	x2*x3+x1*x5+x4*x5+x3*x6+x4*x6+x5*x6+x3+x5+x6	x^96 + x^72 + x^68 + x^65 + x^48 + x^36 + x^34 + x^24 + x^18 + x^17 + x^12 + x^9 + x^6 + x^3	3,6,9,12,17,18,24,34,36,48,65,68,72,96	UNIQUE	
13	x1*x3+x2*x3+x3*x4+x1*x5+x2*x5+x3*x5+x2*x6+x4*x6+x3+x6	x^80 + x^72 + x^68 + x^66 + x^40 + x^36 + x^34 + x^33 + x^20 + x^18 + x^17 + x^10 + x^9 + x^5	5,9,10,17,18,20,33,34,36,40,66,68,72,80	DUPLICATE	Same as Class 10
14	x2*x3+x3*x4+x1*x5+x2*x5+x4*x5+x1*x6+x3*x6+x4*x6+x5*x6+x0+x5	x^80 + x^66 + x^40 + x^33 + x^20 + x^10 + x^5	5,10,20,33,40,66,80	DUPLICATE	Same as Class 2
15	x2*x3+x1*x5+x4*x5+x3*x6+x4*x6+x5*x6+x3+x5+x6	x^96 + x^72 + x^68 + x^65 + x^48 + x^36 + x^34 + x^24 + x^18 + x^17 + x^12 + x^9 + x^6 + x^3	3,6,9,12,17,18,24,34,36,48,65,68,72,96	DUPLICATE	Same as Class 11
16	x2*x3+x1*x4+x2*x4+x3*x4+x1*x5+x4*x5+x1*x6+x2*x6+x3*x6+x4*x6+x5*x6+x2+x4	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
17	x1*x3+x2*x3+x0*x4+x1*x5+x3*x5+x1*x6+x2*x6+x0+x2	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
18	x0*x2+x1*x2+x1*x3+x1*x4+x2*x4+x3*x4+x0*x5+x2*x5+x1*x6+x2*x6+x0+x4+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
19	x0*x2+x0*x4+x1*x4+x0*x5+x1*x5+x3*x5+x4*x5+x1*x6+x3*x6+x4*x6+x5*x6+x0+x1+x2+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
20	x0*x2+x1*x2+x1*x3+x0*x4+x0*x5+x2*x5+x1*x6+x2*x6+x4+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
21	x0*x1+x0*x2+x1*x2+x1*x3+x1*x4+x2*x4+x3*x4+x2*x5+x0*x6+x2*x6+x5*x6+x2+x5	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
22	x0*x2+x1*x2+x0*x3+x2*x3+x0*x4+x2*x4+x3*x4+x0*x5+x2*x5+x4*x5+x1*x6+x2*x6+x0+x1+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
23	x0*x3+x1*x4+x2*x4+x3*x4+x1*x5+x3*x5+x1*x6+x2*x6+x2+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
24	x0*x1+x0*x2+x1*x2+x1*x3+x0*x4+x2*x4+x3*x4+x2*x5+x4*x5+x0*x6+x2*x6+x5*x6+x1+x2+x4+x5+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
25	x0*x1+x1*x3+x2*x3+x0*x4+x0*x5+x1*x5+x3*x5+x0*x6+x2*x6+x5*x6+x4+x5+x6	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
26	x0*x2+x0*x3+x1*x3+x2*x3+x2*x4+x3*x4+x0*x5+x1*x5+x3*x5+x4*x5+x1*x6+x3*x6+x4*x6+x5*x6+x1+x2	x^96 + x^80 + x^72 + x^68 + x^66 + x^65 + x^48 + x^40 + x^36 + x^34 + x^33 + x^24 + x^20 + x^18 + x^17 + x^12 + x^10 + x^9 + x^6 + x^5 + x^3	3,5,6,9,10,12,17,18,20,24,33,34,36,40,48,65,66,68,72,80,96	DUPLICATE	Same as Class 3
